distance,location,isReturn,duration,description,difficulty,state,isOneWay,url,name,features/0,features/1,features/2,features/3,features/4,features/5,features/6,features/7,features/8,features/9
11600,Australian Capital Territory,false,240,"This walk begins at Mountain Ck Car park within Tidbinbilla nature Reserve. The track is a fire trail, Quite steep at first then becoming moderate until 'Camels Back' (signed) beyond this a 500 mtr, unmarked but quite well defined track will lead you to the summit. The veiws of Canberra and surrounds from this last section are spectacular. Well worth the $10 reserve entrance fee (unless you get there between 730 and 9 am.",Hard,act,false,https://www.aussiebushwalking.com/act/camels-hump,Camels Hump,,,,,,,,,,
6000,Australian Capital Territory,true,120,6 km return through open plains with Aboriginal rock paintings at the end,Easy,act,false,https://www.aussiebushwalking.com/act/yankee-hat-,Yankee Hat,Toilets,,,,,,,,,
5000,Australian Capital Territory,true,120,"Stroll around Lake Burley Griffin and enjoy the national attractions, cafes and parks youâ€™ll find along the way. Do as the locals do and do the â€˜bridge to bridgeâ€™ walk (Commonwealth Bridge to Kings Avenue Bridge), then make your way to Commonwealth Park, the home of Floriade in spring, but perfect for visiting at any time of year.",Very Easy,act,false,https://www.aussiebushwalking.com/act/lake-burley-griffin-circuit-bridge-to-bridge-,Lake Burley Griffin Circuit (Bridge to Bridge),Picnic Facilities,Toilets,Wheelchair Accessibility,Public Transport,Dogs Permitted,,,,,
13000,Australian Capital Territory,false,240,"This walk starts at Tidbinbilla Visitors Centre, heading toward Birrigai and up to Eliza Saddle then onto the peak, which is an amazing granite formation offering spectacular veiws over the ACT. return to Eliza Saddle and decend to Dalsetta, then enjoy a meandering strole back to the visitors centre via Sheedys Picnic area and Congwarra trail.",Medium,act,false,https://www.aussiebushwalking.com/act/gibraltar-peak,Gibraltar Peak,,,,,,,,,,
2000,New South Wales,true,60,A rain forest walk through blue gums and strangler figs with epiphytes and ferns in Allyn River Forest Park just south of Mt Allyn in Barrington Tops National Park.,Easy,nsw,false,https://www.aussiebushwalking.com/nsw/allyn-river-rainforest-trail,Allyn River Rainforest Trail,Swimming,Bird Watching,Picnic Facilities,BBQ,Rainforest,,,,,
4000,Kosciuszko Nat Park,false,120,"This short but steep return walk starts from the round Mountain trail head on the Khancoban-Cabramurra rd (closed June-October)Walk 1.5 km to the Farm Ridge Junction, then descend 500m to Round Mountain Hut, which was restored folling the 2003 bushfires.",Medium,kosciuszko-nat-park,false,https://www.aussiebushwalking.com/kosciuszko-nat-park/round-mountain-walk,Round Mountain Walk,,,,,,,,,,
8000,Namadgi National Park,false,120,"Walk along Naas River.  Info posts along the way.  All on fire trail.  Also goes past Demandering Hut.  Both huts are in good condition, recommended to take a tent though & avoid staying in the huts except in case of emergency.  Most Namadgi huts have basic supplies - matches, info, wood etc.",Easy,act,false,https://www.aussiebushwalking.com/act/namadgi/horse-gully-hut,Horse Gully Hut,,,,,,,,,,
12000,Kosciuszko Nat Park,false,300,"From the Cascade Trail Head (3km West of Thredbo Village)Head 5km up Dead Horse Track to Eagles Nest Cafe (Top of Chair lift) Nice spot for a cuppa and some brunch, then follow 'Merritts nature trail' down, until it joins up with 'Meadows nature trail' which will join up with the 'river walk' then the final 3kms along Dead horse track back to your car...",Medium,kosciuszko-nat-park,false,https://www.aussiebushwalking.com/kosciuszko-nat-park/dead-horse-track,Dead Horse Track,,,,,,,,,,
90000,Mt Buffalo NP,false,null,"With approx 90km of walking tracks from 30 min to full day walks this Park offers amazing views, plenty of waterfalls and spectacular granite formations.",Medium,mt-buffalo-np,false,https://www.aussiebushwalking.com/mt-buffalo-np/mt-buffalo-walking-tracks,Mt Buffalo Walking Tracks,,,,,,,,,,
12000,Namadgi National Park,false,240,"Great walk to a beautiful hut, great for overnight (bring a a tent, not recommended to use huts except in emergency).  Can also walk in/out via Caloola Farm, 6kms.  Very cold in winter!",Easy,act,false,https://www.aussiebushwalking.com/act/namadgi/brandy-flat,Brandy Flat,,,,,,,,,,
2200,New South Wales,true,60,"This short walk has a great range of scenery, making it a great choice if you have only a short time in this National Park. This track one of two ways to access America Bay - the other is by boat. The track cuts straight through the bush from West Head Rd to pass historic Aboriginal engravings and a large cliff with a small waterfall, which also gives an impressive view of the bay.",Easy,nsw,false,https://www.aussiebushwalking.com/nsw/america-bay,America Bay,,,,,,,,,,
11000,New South Wales,true,210,"Stunning walk along ridge tops to secluded beaches, an enticing lagoon and detailed Indigenous engravings.",Medium,nsw,false,https://www.aussiebushwalking.com/nsw/bairne-track-to-the-basin-circuit,Bairne Track to The Basin Circuit,,,,,,,,,,
2500,New South Wales,true,90,A loop track that passes through large stands of Antarctic Beech and fern filled gullies.,Hard,nsw,false,https://www.aussiebushwalking.com/nsw/antarctic-beech-track,Antarctic Beech Track,Waterfalls,Swimming,Bird Watching,Rainforest,,,,,,
6000,New South Wales,true,150,After climbing the Pyramids at Girraween NP last year we were aiming for climbing Bald Rock as we were back in the Granite Belt area. We followed advise from Trip Advisor contributors and climbed the steep part first; then we did the Summit and after that the bush walk down. It was so enjoyable! And funny enough; it was easier than the Pyramids while I had expected it to be the other way around. We are 64 and 69 years old and if we can do it anyone can do it! I've got fibro-myalgia but keep pushing myself so I can still enjoy life. I'll pay the price afterwards. :-),Medium,nsw,false,https://www.aussiebushwalking.com/nsw/bald-rock-national-park-tenterfield-nsw,Bald Rock National Park-Tenterfield NSW,,,,,,,,,,
